user=0 
  Last 24 hour events (timeRange="1/23/2019, 11:27 AM – 1/24/2019, 11:27 AM" )
    time="2019-01-23 16:41:40" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.accountsettings.ui.SettingsLoaderActivity flags=0x0 
    time="2019-01-23 16:41:44" type=MOVE_TO_BACKGROUND package=com.google.android.gms class=com.google.android.gms.accountsettings.ui.SettingsLoaderActivity flags=0x0 
    time="2019-01-23 16:41:44" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.preference.GmailPreferenceActivity flags=0x0 
    time="2019-01-23 16:41:48" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.preference.GmailPreferenceActivity flags=0x0 
    time="2019-01-23 16:41:48" type=MOVE_TO_FOREGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:41:55" type=MOVE_TO_BACKGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:41:56" type=MOVE_TO_FOREGROUND package=io.appium.settings class=io.appium.settings.Settings flags=0x0 
    time="2019-01-23 16:41:58" type=MOVE_TO_BACKGROUND package=io.appium.settings class=io.appium.settings.Settings flags=0x0 
    time="2019-01-23 16:41:58" type=MOVE_TO_FOREGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:42:07" type=MOVE_TO_BACKGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
    time="2019-01-23 16:42:07" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:42:10" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 16:42:11" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.welcome.WelcomeTourActivity flags=0x0 
    time="2019-01-23 16:42:14" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.welcome.WelcomeTourActivity flags=0x0 
    time="2019-01-23 16:42:14" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.welcome.SetupAddressesActivity flags=0x0 
    time="2019-01-23 16:42:15" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.welcome.SetupAddressesActivity flags=0x0 
    time="2019-01-23 16:42:16" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.setup.AccountSetupFinalGmail flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.setup.AccountSetupFinalGmail flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.common.UnpackingRedirectActivity flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_BACKGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.common.UnpackingRedirectActivity flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.AccountIntroActivity flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_BACKGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.AccountIntroActivity flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.WrapperControlledActivity flags=0x0 
    time="2019-01-23 16:42:20" type=MOVE_TO_BACKGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.WrapperControlledActivity flags=0x0 
    time="2019-01-23 16:42:21" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.PreAddAccountActivity flags=0x0 
    time="2019-01-23 16:42:23" type=MOVE_TO_BACKGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.PreAddAccountActivity flags=0x0 
    time="2019-01-23 16:42:24" type=MOVE_TO_FOREGROUND package=com.google.android.gms class=com.google.android.gms.auth.uiflows.addaccount.WrapperControlledActivity flags=0x0 
